permalink,name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
/organization/paybox-payment-solutions,PayBox,http://payboxapp.co.uk/,E-Commerce|Mobile Commerce|Mobile Payments|Payments|Peer-to-Peer|Social Commerce,100000,operating,ISR,,,,1,2014-01-09,2014-05-01,2014-05-01
/organization/paybygroup,PayByGroup,http://www.paybygroup.com/business,E-Commerce|Payments|Social Commerce|Social Media,-,operating,USA,CA,SF Bay Area,San Francisco,2,,2011-10-26,2014-02-04
/organization/paybymobile,payByMobile,http://www.paybymobile.net,E-Commerce|Mobile Payments|Payments|Web Development,1080450,operating,IRL,7,Dublin,Dublin,1,2009-04-09,2009-12-31,2009-12-31
/organization/paychoice,Paychoice,http://www.paychoice.com,Accounting|Credit Cards|E-Commerce|Payments,-,operating,AUS,7,Melbourne,Melbourne,1,2010-01-01,2004-12-01,2004-12-01
/organization/paydragon,PayDragon,http://paydragon.com,E-Commerce,1350000,operating,USA,CA,Los Angeles,Los Angeles,1,,2012-07-27,2012-07-27
/organization/payease,PayEase,http://www.payeasenet.com,E-Commerce,14500000,acquired,USA,CA,SF Bay Area,Santa Clara,1,2000-01-01,2006-11-06,2006-11-06
/organization/payever,payever,http://www.getpayever.com,E-Commerce|Finance|Financial Services|FinTech,811022.653948536,operating,DEU,4,Hamburg,Hamburg,4,2013-12-01,2013-10-01,2015-07-02
/organization/payfirma-corporation,Payfirma,https://www.payfirma.com,E-Commerce|Finance|FinTech|Mobile Payments|Payments|Point of Sale|SaaS|Transaction Processing,23491958,operating,CAN,BC,Vancouver,Vancouver,8,2011-01-01,2011-01-01,2015-05-27
/organization/paylease,PayLease,http://www.paylease.com,E-Commerce,-,operating,USA,CA,San Diego,San Diego,1,2003-03-25,2014-07-02,2014-07-02
/organization/paymate-india,PayMate India,http://www.gopaymate.com,E-Commerce|FinTech,14000000,operating,IND,16,Mumbai,Mumbai,2,2006-01-01,2006-07-01,2008-06-01
/organization/payment-plugin,Payment plugin,http://payplug.in,E-Commerce|Payments|Software,25000,operating,UKR,13,Kiev,Kiev,1,2013-05-09,2013-09-01,2013-09-01
/organization/paymentone,PaymentOne,http://payone.com,E-Commerce,7000000,operating,USA,CA,SF Bay Area,San Jose,1,2000-01-01,2009-08-19,2009-08-19
/organization/paymill,PAYMILL,http://www.paymill.com,E-Commerce|Games|Payments|Subscription Businesses,18000000,operating,DEU,2,Munich,Munich,3,2012-06-01,2012-08-01,2013-02-15
/organization/paynearme,PayNearMe,http://www.paynearme.com,E-Commerce|Government Innovation|Payments|Property Management|Utilities,71199988,operating,USA,CA,SF Bay Area,Sunnyvale,7,2009-03-01,2009-05-01,2015-04-06
/organization/payoneer,Payoneer,http://www.payoneer.com,E-Commerce|Finance|Internet|Mobile|Payments,90000000,operating,USA,NY,New York City,New York,12,2005-04-01,2005-01-01,2015-08-12
/organization/payorpass,PayOrPass,http://invite.clutchretail.com,E-Commerce,660000,closed,USA,MA,Boston,Boston,1,2012-01-01,2012-10-19,2012-10-19
/organization/paypal,PayPal,https://www.paypal.com/home,E-Commerce|Finance|FinTech|Mobile Payments|P2P Money Transfer|Payments,197000000,acquired,USA,CA,SF Bay Area,San Jose,5,1998-12-01,1999-01-01,2001-02-16
/organization/payparade,PayParade Pictures,http://www.payparade.com,Advertising|Direct Marketing|Games|Social Media|Social Network Media,200000,closed,USA,PA,Philadelphia,Bala Cynwyd,2,2007-10-17,2008-12-01,2009-03-13
/organization/paypersocial-ltd,Paypersocial Ltd,http://www.paypersocial.com,Advertising|Social Media Advertising,279399,operating,GBR,H9,London,London,3,2011-07-10,2011-09-01,2012-09-01
/organization/payplug,PayPlug,http://www.payplug.com,E-Commerce|Financial Services|Payments,3818590,operating,FRA,A8,Paris,Paris,3,2012-05-01,2012-10-04,2015-02-23
/organization/payprop,PayProp,http://www.payprop.com,E-Commerce Platforms|Internet|Payments|Property Management,-,operating,GBR,G5,London,Sevenoaks,1,2004-01-01,2013-08-01,2013-08-01
/organization/paystand,PayStand,http://paystand.com,Bitcoin|E-Commerce|Payments|SaaS,2660000,operating,USA,CA,SF Bay Area,Santa Cruz,5,2013-03-01,2013-12-27,2015-03-13
/organization/paysur,Paysur,http://paysur.com/,Banking|E-Commerce|Financial Services|FinTech|Mobile Commerce|P2P Money Transfer|Social Entrepreneurship|Social Fundraising,275000,operating,MEX,11,Guadalajara,León,2,,2014-07-01,2015-09-22
/organization/paytm,Paytm,https://paytm.com/,E-Commerce|Online Shopping,700000000,operating,IND,36,New Delhi,Noida,3,2010-01-01,2015-03-13,2015-09-29
/organization/paytopia,Paytopia,http://www.paytopia.com/,E-Commerce|Payments,15000,operating,USA,TN,Memphis,Memphis,1,2012-01-28,2012-03-24,2012-03-24
/organization/payuslessrx-com,PayUsLessRx.com,http://payuslessrx.com,E-Commerce,100000,operating,USA,NY,Long Island,Stony Brook,1,,2011-09-12,2011-09-12
/organization/payvment,Payvment,http://www.payvment.com,Developer APIs|E-Commerce|Facebook Applications|Services,7750000,acquired,USA,CA,SF Bay Area,Palo Alto,3,2009-08-01,2009-01-01,2010-11-30
/organization/paywhere-pte-ltd,Paywhere Pte Ltd,http://paywhere.com,E-Commerce,482786,acquired,SGP,,Singapore,Singapore,1,,2012-11-01,2012-11-01
/organization/payz-inc,"Payz, Inc.",http://payz.com,CRM|Customer Service|E-Commerce|Gift Card|Loyalty Programs|Payments|Services|Virtual Currency,-,operating,USA,NY,New York City,New York,1,2011-10-13,2009-05-26,2009-05-26
/organization/pcsso,Pcsso,http://www.pcsso.com,E-Commerce,10000,operating,,,,,2,2013-01-01,2013-01-01,2013-05-24
/organization/pdv,PDV,http://pdvltd.com,Advertising,6220000,operating,GBR,F8,Watford,Watford,2,,2000-05-02,2002-03-05
/organization/peach-lily,Peach & Lily,http://peachandlily.com/,Beauty|E-Commerce|Online Shopping,575000,operating,USA,NY,New York City,Bronx,1,,2014-05-21,2014-05-21
/organization/peach-payments,Peach Payments,http://www.peachpayments.com,E-Commerce|Emerging Markets|Mobile Payments|Payments,67983,operating,ZAF,,Cape Town,Cape Town,1,2012-01-01,2013-02-01,2013-02-01
/organization/peak-design,Peak Design,https://peakdesign.com/,Design|E-Commerce,4800000,operating,USA,CA,SF Bay Area,San Francisco,1,2010-06-01,2015-09-21,2015-09-21
/organization/peakardo,Peakardo,http://www.peakardo.com/,Cloud Infrastructure|Digital Media|E-Commerce|Internet|Marketplaces|SaaS,225000,operating,ISR,5,Tel Aviv,Tel Aviv,1,2012-08-01,2013-02-01,2013-02-01
/organization/pear-analytics,Pear Analytics,http://www.pearanalytics.com,Advertising|Analytics|Sales and Marketing|Search Marketing|Semantic Search|SEO,200000,operating,USA,TX,San Antonio,San Antonio,1,2008-06-01,2009-08-15,2009-08-15
/organization/peatix,Peatix,http://peatix.com,E-Commerce,9615000,operating,USA,NY,New York City,New York,4,2011-05-01,2011-12-01,2015-03-16
/organization/pebblepost,PebblePost,http://pebblepost.com/,Direct Advertising|Direct Marketing,3000000,operating,USA,NY,New York City,New York,2,2014-01-01,2014-10-03,2015-10-06
/organization/pedidosya,PedidosYa / PedidosJá,http://www.pedidosya.com,E-Commerce|Hospitality|Marketplaces,7500000,acquired,URY,,Montevideo,Montevideo,4,2009-10-10,2011-09-01,2013-10-26
