permalink,name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
/organization/avuba,Avuba,http://www.avuba.de,Banking|Finance|Mobile|Payments|Technology,569299,operating,,,,,3,2013-01-01,2013-08-05,2015-02-05
/organization/awamo,awamo,http://awamo.com,Biometrics|Finance Technology|Financial Services,550000,operating,DEU,5,Frankfurt,Frankfurt,1,2015-05-07,2015-08-10,2015-08-10
/organization/ayondo,Ayondo,http://ayondo.com,Finance|Social Media|Trading,10283444,operating,GBR,H9,London,London,6,2008-01-01,2009-01-01,2015-04-28
/organization/azimo,Azimo,http://azimo.com,Curated Web|Finance Technology|Financial Services|FinTech|Personal Finance|Virtualization,31591693,operating,GBR,H9,London,London,4,2012-10-29,2013-01-01,2015-06-15
/organization/aztec-group,Aztec Group,http://aztecgroup.com,Finance,5300000,operating,USA,FL,Miami,Miami,1,1981-01-01,2014-02-12,2014-02-12
/organization/b-hive-networks,B-hive Networks,http://www.bhive.net,Finance|FinTech|Networking,7500000,acquired,USA,CA,SF Bay Area,San Mateo,2,2005-01-01,2005-01-01,2006-08-25
/organization/babington-group,Babington Group,http://babington.co.uk,Accounting|Advice|Customer Service|Education|Finance,-,operating,GBR,D2,Derby,Derby,1,1974-01-01,2009-11-01,2009-11-01
/organization/balance-financial,Balance Financial,http://www.balancefinancial.com,Enterprise Software|Finance Technology,1500000,acquired,USA,WA,Seattle,Bellevue,2,2004-01-01,2011-09-06,2012-07-16
/organization/ballooning-nest-eggs,Ballooning Nest Eggs,http://www.ballooningnesteggs.com,Finance,60000,operating,USA,NY,New York City,New York,1,2012-01-01,2015-03-01,2015-03-01
/organization/bancabc,BancABC,http://bancabc.com,Business Services|Finance|Financial Services,25000000,operating,ZAF,,Johannesburg,Johannesburg,1,2000-01-01,2014-04-09,2014-04-09
/organization/bancalis-gmbh,BANCALIS GmbH,http://www.Bancalis.de,Algorithms|Finance Technology|FinTech|New Technologies,130000,operating,DEU,5,Frankfurt,Frankfurt,1,2015-08-13,2015-07-01,2015-07-01
/organization/bank-of-georgetown,Bank of Georgetown,http://bankofgeorgetown.com,Finance,18000000,operating,USA,DC,"Washington, D.C.",Washington,1,,2013-12-04,2013-12-04
/organization/bankbazaar,BankBazaar.com,http://www.bankbazaar.com,Credit Cards|Curated Web|Finance|Insurance|Real Estate Investors,79000000,operating,IND,25,Chennai,Chennai,3,2008-07-01,2011-03-18,2015-07-02
/organization/bankerbay-technologies-2,BankerBay Technologies,http://bankerbay.com,Finance,3000000,operating,IND,19,Bangalore,Bangalore,2,2013-01-01,2014-05-02,2015-06-25
/organization/bankfacil,BankFacil,http://www.bankfacil.com.br,Banking|Consumer Lending|Personal Finance,5400000,operating,BRA,2,Sao Paulo,São Paulo,2,2012-04-16,2013-10-18,2015-08-03
/organization/bankguard,Bankguard,http://www.bkguard.com/en/,Android|Banking|Finance,15931,operating,,,,,1,,2015-04-11,2015-04-11
/organization/banki-ru,Banki.ru,http://banki.ru,Finance,6000000,closed,RUS,48,Moscow,Moscow,2,2005-03-01,2010-06-01,2013-09-01
/organization/bankjoy,Bankjoy,https://bankjoy.com/,Finance|Financial Services,120000,operating,,,,,1,2014-01-01,2014-12-01,2014-12-01
/organization/banksimple,Simple,http://simple.com,Banking|Enterprise Software|Finance,15290000,acquired,USA,OR,"Portland, Oregon",Portland,4,2009-01-01,2009-11-01,2013-06-11
/organization/banksnob,Banksnob,http://www.banksnob.com,Credit Cards|Finance|Financial Services|Personal Finance|Search,-,closed,USA,TX,Houston,Houston,1,2011-07-29,2011-07-29,2011-07-29
/organization/banktothefuture-com,BankToTheFuture,http://bflanding.banktothefuture.com/,Crowdfunding|Finance|Peer-to-Peer|Startups|Venture Capital,3000000,operating,GBR,H9,London,London,1,2010-01-01,2015-10-20,2015-10-20
/organization/banno,Banno,http://banno.com,Finance,1000000,operating,USA,IA,Cedar Rapids,Cedar Falls,1,2008-04-01,2012-09-24,2012-09-24
/organization/baokim,Baokim,http://www.baokim.vn,Finance,-,operating,VNM,,Hanoi,Hanoi,1,,2010-09-22,2010-09-22
/organization/bats-global-markets,BATS Global Markets,http://batstrading.com,Finance|FinTech,45000000,operating,USA,KS,Kansas City,Lenexa,2,2005-06-01,2007-05-31,2013-08-14
/organization/bayouglobal-forex-trading,BayouGlobal Forex Trading,,Finance,125000,operating,USA,LA,LA - Other,Springfield,1,2011-01-01,2014-07-01,2014-07-01
/organization/be-great-partners,Be Great Partners,http://www.begreat.co/,Finance|Incubators|Internet|Startups|Venture Capital,6000000,operating,USA,CA,Los Angeles,Los Angeles,1,2012-02-15,2013-07-02,2013-07-02
/organization/beabloo,Beabloo,http://www.beabloo.com,Enterprise Software|Finance,11512944.9634908,operating,ESP,56,Barcelona,Barcelona,2,2008-01-01,2012-12-09,2015-05-25
/organization/beanjockey,BeanJockey,http://beanjockey.com,Finance,40000,operating,USA,NY,New York City,New York,1,2012-01-01,2013-08-23,2013-08-23
/organization/beckom-investment-group,Beckom Investment Group,http://www.beckominvestmentgroup.com,Finance,-,operating,USA,CA,Ontario - Inland Empire,Temecula,1,2013-05-15,2014-10-11,2014-10-11
/organization/becual,Becual,http://www.becual.com,Crowdfunding|Finance Technology|Financial Services|FinTech|Personal Finance|Social Media,140000,operating,CHL,12,Santiago,Santiago,1,2014-01-30,2014-01-30,2014-01-30
/organization/bee-2,Bee,http://www.beecard.us/,Finance,4600000,operating,,,,,1,,2015-11-30,2015-11-30
/organization/behalf,Behalf,https://behalf.com,Finance|Internet|Payments,129000000,operating,USA,NY,New York City,New York,2,2011-01-01,2013-09-03,2015-07-29
/organization/behavox,Behavox,http://www.behavox.com,Artificial Intelligence|Data Visualization|Finance Technology,400000,operating,GBR,H9,London,London,1,2014-06-01,2014-08-01,2014-08-01
/organization/believersfund,BelieversFund,http://www.believersfund.com,Android|Apps|Crowdfunding|Finance|FinTech|iPhone|Mobile,50000,closed,BEL,8,Brussels,Ghent,1,2011-04-01,2011-04-01,2011-04-01
/organization/bench,Bench,http://bench.co,Accounting|Enterprises|Finance|Network Security|SaaS|Small and Medium Businesses|Software,10000000,operating,CAN,BC,Vancouver,Vancouver,4,2012-01-01,2012-03-01,2015-01-29
/organization/benzinga,Benzinga,http://www.benzinga.com,Finance|FinTech|News|Online Education,1500000,operating,USA,MI,Detroit,Southfield,1,2011-01-01,2011-05-26,2011-05-26
/organization/best-money-decisions,Best Money Decisions,,Finance|Venture Capital,1200000,operating,USA,PA,Philadelphia,Chadds Ford,1,1995-12-01,2014-04-24,2014-04-24
/organization/better-atm-services,Better ATM Services,http://betteratmservices.com,Finance|FinTech,1000000,operating,USA,ID,ID - Other,Mesa,1,2004-01-01,2013-06-24,2013-06-24
/organization/betterment,Betterment,http://www.betterment.com,Finance|Investment Management,105000000,operating,USA,NY,New York City,New York,5,2008-08-25,2010-11-01,2015-02-17
/organization/big-apple-insurance-solutions,Big Apple Insurance Solutions,http://www.bigappleinsurancesolutions.com,Finance|Venture Capital,-,operating,USA,NY,New York City,New York,1,2012-02-01,2014-01-13,2014-01-13
/organization/big-launcher,BIG Launcher,http://biglauncher.com,Apps|Finance|FinTech|Mobile|Senior Citizens,122738,operating,CZE,86,CZE - Other,Pardubice,2,2011-10-01,2013-11-01,2014-05-01
/organization/bigcalc,BigCalc,http://bigcalc.com,Finance,-,operating,USA,CA,SF Bay Area,San Francisco,1,,2012-08-01,2012-08-01
/organization/bilbus,Bilbus,http://www.bilbus.com,Finance,72407,operating,GBR,H9,London,London,1,2010-01-01,2011-07-01,2011-07-01
/organization/bill-com,Bill.com,http://www.bill.com,Finance|SaaS,129100000,operating,USA,CA,SF Bay Area,Palo Alto,8,2006-08-01,2007-01-01,2015-02-11
/organization/billfaster-com,Billfaster,http://www.billfaster.com,Accounting|Billing|Digital Media|Finance|Software,483410,operating,IRL,7,DÃºn Laoghaire,Dún Laoghaire,2,2008-12-01,2011-12-07,2013-12-06
/organization/billguard,BillGuard,http://www.billguard.com,Consumer Lending|Credit|Credit Cards|Crowdsourcing|FinTech|Fraud Detection|IT and Cybersecurity|Personal Finance|Security,16500000,acquired,USA,NY,New York City,New York,3,2010-04-11,2010-05-28,2014-09-29
/organization/binary-event-network,Pivit,http://pivit.io,All Markets|Consumer Electronics|Finance|Social Media|Sports|Trading,-,operating,USA,NY,New York City,New York,3,2011-01-01,2011-11-28,2014-10-01
/organization/bindhq,BindHQ,http://www.bindhq.com,Cloud Computing|Finance|FinTech|Insurance|SaaS|Web Development,500000,operating,USA,CA,"Orange County, California",Tustin,1,2012-07-15,2012-01-01,2012-01-01
/organization/bipsync,Bipsync,http://www.bipsync.com,Enterprises|Enterprise Software|Finance|Finance Technology|Financial Services|FinTech|Hedge Funds|Intellectual Asset Management|Investment Management|Stock Exchanges,2000000,operating,USA,NY,New York City,New York,1,2012-06-01,2014-11-18,2014-11-18
/organization/birdbox,Birdbox,http://www.birdbox.com,Finance|Photography|Photo Sharing,1000000,operating,USA,CO,Denver,Boulder,2,2012-03-01,2012-05-17,2012-11-30
/organization/bison,BISON,http://www.bison.co,Artificial Intelligence|Finance|Venture Capital,1235000,operating,USA,MA,Boston,Boston,3,2011-05-01,2012-12-31,2015-04-15
/organization/bitaccess,BitAccess,http://www.bitaccess.co,Bitcoin|Cloud Management|Finance|FinTech,11000000,operating,CAN,ON,Ottawa,Ottawa,3,2013-01-01,2014-01-21,2014-07-16
/organization/bitaka-cards-solutions,BITAKA Cards & Solutions,http://www.bitaka-tunisie.com,Finance|FinTech,3920000,operating,TUN,36,Tunis,Tunis,1,1999-01-01,2010-05-12,2010-05-12
/organization/bitangels-fund,DApps Fund,http://www.dappsfund.com/,Finance,15000000,operating,USA,TX,Austin,Austin,1,2014-01-01,2014-01-01,2014-01-01
/organization/bitbond,Bitbond,https://www.bitbond.com,Finance|Personal Finance,941049,operating,DEU,16,Berlin,Berlin,2,2013-01-07,2014-08-14,2015-05-20
/organization/bitcoin-india,BitCoin India,http://bitcoin-india.org/,Bitcoin|Finance|Trading|Virtual Currency,175000,operating,USA,DE,Dover,Lewes,1,2014-10-14,2014-08-25,2014-08-25
/organization/bitcoin-indonesia,Bitcoin.co.id,https://www.bitcoin.co.id/,Bitcoin|Finance Technology|Financial Exchanges|Financial Services,50000,operating,IDN,4,Jakarta,Jakarta,1,2014-02-15,2014-02-01,2014-02-01
/organization/bitfiance,BitFiance,http://bitfinance.co.zw/,Bitcoin|Finance|Payments,30000,operating,ZWE,,Harare,Harare,1,,2015-05-18,2015-05-18
/organization/bitoex,BitoEX,https://bitoex.com/,Bitcoin|E-Commerce|Finance|Payments,2000000,operating,,,,,1,,2014-06-01,2014-06-01
/organization/bitpagos,Bitpagos,http://bitpagos.net,Bitcoin|Finance|Mobile Payments|Payments,1921592,operating,USA,DE,"Wilmington, Delaware",Wilmington,5,2013-01-01,2013-09-01,2015-09-09
